ID,nonprofit,date,day,post_type,likes,comments,partnership,bible_quote,hashtags,graphic,graphic_with_image,short_form_vid,org_persons,statistic,holiday,persons_in_need,call_action,emojis,indv_quote,major_news,per_story
127,CI,26-May,Sun,3,564,6,0,1,4,3,3,0,0,0,0,0,0,1,0,0,0
128,CI,28-May,Tue,3,539,12,0,0,8,3,3,1,1,1,1,0,0,0,0,0,0
129,CI,29-May,Wed,3,723,14,0,0,6,3,3,1,0,0,0,1,0,0,0,0,1
130,CI,30-May,Thur,3,384,4,0,0,4,3,3,0,0,0,0,1,0,0,0,0,0
131,CI,31-May,Fri,1,415,1,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0
132,CI,1-Jun,Sat,3,1793,43,0,0,6,3,3,0,0,0,0,1,0,0,0,0,1
133,CI,2-Jun,Sun,2,588,17,0,0,5,0,3,3,0,0,0,1,0,0,0,0,0
134,CI,5-Jun,Wed,3,645,10,0,1,0,3,3,0,0,0,0,1,0,1,0,0,0
135,CI,6-Jun,Thur,2,912,15,0,0,6,0,3,3,0,0,0,1,0,0,0,0,1
136,CI,9-Jun,Sun,2,483,3,0,0,0,0,3,3,0,0,0,1,0,0,0,0,1
137,CI,12-Jun,Wed,3,446,12,0,0,6,3,3,0,0,0,0,1,0,1,0,0,0
138,CI,13-Jun,Thur,3,514,4,0,0,9,3,3,0,1,0,0,1,0,0,0,0,0
139,CI,14-Jun,Fri,3,543,4,0,0,7,3,3,0,1,0,0,1,0,0,0,0,0
140,CI,15-Jun,Sat,3,603,9,0,0,3,3,3,0,0,0,0,1,0,1,0,0,0
141,CI,16-Jun,Sun,2,671,16,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0
142,CI,17-Jun,Mon,1,546,3,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0
143,CI,18-Jun,Tue,3,1168,21,0,0,9,3,3,1,0,0,1,1,0,0,0,0,1
144,CI,19-Jun,Wed,3,467,8,0,0,4,3,3,1,0,0,0,1,0,0,0,0,1
145,CI,20-Jun,Thur,3,765,13,0,0,5,3,3,1,0,0,0,1,0,1,0,0,1
146,CI,21-Jun,Fri,3,357,7,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0
147,CI,22-Jun,Sat,1,515,8,0,0,3,1,1,3,0,0,0,1,0,0,0,0,0
148,CI,23-Jun,Sun,3,1785,31,0,0,7,3,3,1,0,0,0,1,0,0,0,0,0
149,CI,26-Jun,Wed,3,301,2,0,0,4,3,3,0,0,0,0,1,0,0,1,0,1
150,CI,26-Jun,Wed,3,1469,14,0,0,7,3,3,1,0,0,0,1,0,1,0,0,0
151,CI,28-Jun,Fri,3,1122,13,1,0,6,3,3,1,0,0,0,0,0,1,0,0,0
152,CI,29-Jun,Sat,3,707,9,0,0,6,3,3,1,0,0,0,1,0,2,0,0,1
153,DR,4-Apr,Thur,3,214,6,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0
154,DR,5-Apr,Fri,1,87,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
155,DR,7-Apr,Sun,2,77,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
156,DR,11-Apr,Thur,2,87,2,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0
157,DR,12-Apr,Fri,3,98,10,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0
158,DR,13-Apr,Sat,2,127,10,1,0,0,0,3,3,1,0,0,0,0,0,0,0,0
159,DR,18-Apr,Thur,2,79,3,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0
160,DR,24-Apr,Wed,2,43,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0
161,DR,25-Apr,Thur,3,67,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0
162,DR,29-Apr,Mon,2,36,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0
163,DR,2-May,Thur,2,58,0,0,0,0,0,3,3,1,0,0,1,0,0,0,0,0
164,DR,4-May,Sat,2,45,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0
165,DR,5-May,Sun,2,70,0,0,0,1,0,3,3,1,0,0,0,0,0,0,0,0
166,DR,5-May,Sun,3,89,1,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0
167,DR,5-May,Sun,2,66,0,0,0,1,0,3,3,1,0,0,1,0,0,0,0,0
168,DR,6-May,Mon,3,171,2,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0
169,DR,6-May,Mon,3,28,1,0,0,0,3,3,0,1,0,0,1,0,0,0,0,0
170,DR,8-May,Wed,3,70,4,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0
171,DR,9-May,Thur,3,82,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0
172,DR,11-May,Sat,1,44,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0
173,DR,15-May,Wed,3,36,0,0,0,0,3,3,0,1,0,0,0,0,0,0,1,0
174,DR,16-May,Thur,3,46,1,1,0,0,3,3,0,1,0,0,0,0,0,0,0,0
175,DR,22-May,Wed,2,76,1,1,0,0,0,3,3,1,0,0,0,0,0,0,0,0
176,DR,28-May,Tue,3,37,1,0,0,0,3,3,0,1,0,0,1,0,0,0,0,0
177,DR,30-May,Thur,3,69,1,0,0,0,3,3,0,1,0,0,1,0,0,0,1,0
178,DR,3-Jun,Mon,2,74,1,0,0,0,0,3,3,1,0,0,0,0,0,0,0,1
179,DR,4-Jun,Tue,1,39,2,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0
180,DR,5-Jun,Wed,1,35,3,0,0,0,0,3,3,1,0,0,1,0,0,0,0,0
181,DR,8-Jun,Sat,1,38,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0
182,DR,8-Jun,Sat,1,54,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0
183,DR,14-Jun,Fri,1,78,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0
184,DR,18-Jun,Tue,3,39,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0
185,DR,21-Jun,Fri,1,53,1,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0
186,DR,25-Jun,Tue,2,49,1,0,0,0,0,3,3,1,0,0,1,0,0,0,0,0
187,DR,30-Jun,Sun,3,54,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
188,IRC,4-Apr,Thur,2,474,14,0,0,0,0,3,3,0,0,0,1,0,1,0,0,1
189,IRC,5-Apr,Fri,3,406,5,0,0,0,3,3,0,0,0,0,1,0,0,0,0,1
190,IRC,9-Apr,Tue,2,536,7,0,0,0,0,3,3,0,0,1,1,0,0,0,0,1
191,IRC,10-Apr,Wed,2,4365,37,1,0,1,1,1,3,0,0,0,0,0,1,0,0,0
192,IRC,11-Apr,Thur,1,2677,29,1,0,1,1,1,3,0,0,0,0,0,0,1,0,0
193,IRC,12-Apr,Fri,2,826,13,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0
194,IRC,15-Apr,Mon,2,1909,8,1,0,0,1,1,3,0,0,0,0,0,2,0,0,0
195,IRC,18-Apr,Thur,3,500,4,0,0,0,3,3,0,0,0,0,1,0,2,0,0,1
196,IRC,19-Apr,Fri,2,829,10,0,0,0,1,1,3,0,0,0,1,0,2,0,0,1
197,IRC,21-Apr,Sun,1,1286,8,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0
198,IRC,22-Apr,Mon,2,490,2,0,0,0,1,1,3,0,0,0,0,0,2,0,0,0
199,IRC,26-Apr,Fri,3,1331,20,1,0,1,3,3,1,0,0,0,1,0,0,0,0,0
200,IRC,27-Apr,Sat,1,863,6,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
201,IRC,30-Apr,Tue,3,1359,23,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
202,IRC,1-May,Wed,2,748,14,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0
203,IRC,4-May,Sat,2,583,8,0,0,0,1,0,3,0,1,0,0,0,1,0,0,0
204,IRC,5-May,Sun,2,503,6,0,0,1,0,3,3,0,0,0,1,0,1,0,0,1
205,IRC,7-May,Tue,3,2444,72,0,0,0,3,3,1,1,0,0,1,0,1,0,0,0
206,IRC,8-May,Wed,3,856,18,0,0,0,3,3,1,1,0,0,1,0,0,0,0,0
207,IRC,10-May,Fri,3,1022,53,0,0,2,3,3,0,0,0,0,1,0,2,0,0,1
208,IRC,11-May,Sat,2,1476,14,0,0,0,1,0,3,0,0,0,0,0,0,1,0,1
209,IRC,12-May,Sun,3,1071,16,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0
210,IRC,14-May,Tue,2,487,13,0,0,2,0,3,3,0,0,0,1,0,2,0,0,1
211,IRC,19-May,Sun,2,381,8,0,0,2,0,3,3,0,0,0,1,0,1,0,0,1
212,IRC,22-May,Wed,3,1699,25,1,0,0,3,3,0,1,0,0,1,0,1,0,0,0
213,IRC,24-May,Fri,2,620,12,0,0,1,1,1,3,0,0,0,1,0,1,0,0,1
214,IRC,25-May,Sat,3,476,7,0,0,0,3,3,1,1,0,0,1,0,4,0,0,0
215,IRC,26-May,Sun,1,785,11,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
216,IRC,28-May,Tue,2,366,10,0,0,1,1,1,3,0,0,0,1,0,1,0,0,0
217,IRC,31-May,Fri,1,996,10,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0
218,IRC,1-Jun,Sat,2,1133,22,0,0,1,0,3,3,0,0,1,1,0,3,0,0,1
219,IRC,3-Jun,Mon,1,1308,560,0,0,2,1,1,3,0,0,1,0,0,2,0,0,0
220,IRC,5-Jun,Wed,2,516,16,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0
221,IRC,8-Jun,Sat,1,2080,34,0,0,0,1,1,3,0,0,0,0,1,1,0,0,0
222,IRC,9-Jun,Sun,3,690,15,0,0,1,3,3,1,1,0,0,0,1,0,0,0,0
223,IRC,13-Jun,Thur,2,461,3,1,0,1,0,3,3,0,0,0,0,0,1,0,0,0
224,IRC,15-Jun,Sat,3,1614,28,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0
225,IRC,17-Jun,Mon,3,733,17,0,0,1,3,3,1,1,0,0,0,0,2,0,0,0
226,IRC,18-Jun,Tue,3,11344,118,0,0,2,3,3,1,1,0,0,0,0,1,0,0,0
227,IRC,19-Jun,Wed,1,930,115,0,0,1,1,1,3,0,0,1,0,0,0,0,0,0
228,IRC,20-Jun,Thur,2,1112,6,0,0,1,1,1,3,0,0,1,1,0,1,0,0,0
229,IRC,21-Jun,Fri,3,400,5,1,0,1,3,3,1,1,0,0,1,0,2,0,0,0
230,IRC,23-Jun,Sun,2,12144,135,0,0,0,1,1,3,0,1,0,1,1,0,0,1,0
231,IRC,24-Jun,Mon,2,2507,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
232,IRC,25-Jun,Tue,3,9799,97,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0
233,IRC,27-Jun,Thur,3,64986,1089,0,0,0,3,3,1,0,0,0,1,0,2,0,0,1
234,IRC,28-Jun,Fri,3,757,16,0,0,3,3,3,1,0,0,0,0,0,1,0,0,0
